,HotelName,Address,Originalprice,Amountpayable,Discount,Facilities,Ratings,Reviews,Roomquality,Location
140,OYO Flagship 704007 Hotel Ashoka Classic ,"Hyderabad, Hyderabad·       0.4 km",1588.0,445.0,71.0, Elevator  Geyser  Power backup  + 3 more,3.6,509.0,,hyderabad
141,OYO 24204 Nav Bharath Residency,"Near Central Gurudwara Saheb, Gowliguda, Hyderabad·       1.0 km",3952.0,1107.0,71.0, Reception  Free Wi-Fi  Power backup  + 17 more,4.1,1541.0,Very Good,hyderabad
142,OYO 16428 Hotel Vaishnavi Inn,"Secunderabad, Hyderabad·       5.4 km",3068.0,839.0,72.0, Free Wi-Fi  Power backup  Card payment  + 14 more,4.0,2262.0,Very Good,hyderabad
143,SPOT ON 81775 Mohit Gokul Lodge New Room's,"Near To Secunderbad East Metro Rail Station, Hyderabad·       5.9 km",896.0,279.0,68.0, Parking facility  Reception  Free Wi-Fi  + 9 more,3.0,621.0,Fair,hyderabad
144,OYO 30665 Sruan Inn,"Abhyudaya Nagar, Hyderabad·       9.7 km",2330.0,553.0,76.0, Parking facility  Reception  Free Wi-Fi  + 14 more,2.8,83.0,Fair,hyderabad
145,Capital O 9796 Hotel Alekhya Residency,"Near Global Hospital, Saifabad, Hyderabad·       3.3 km",3677.0,1030.0,71.0, Free Wi-Fi  CCTV cameras  Power backup  + 5 more,3.7,784.0,Good,hyderabad
146,SPOT ON 804598 Deccan Residency,"Punjagutta, Hyderabad·       5.1 km",1588.0,599.0,62.0, AC  TV ,3.6,509.0,,hyderabad
147,OYO 22907 Hotel Holiday,"M.G Road, Near Rani Gunj X road, Opp. Punjab National Bank, Secunderabad, Hyderabad·       5.4 km",2662.0,746.0,71.0, Reception  Free Wi-Fi  Power backup  + 13 more,3.9,1477.0,Good,hyderabad
148,Townhouse OAK Hotel Belsons Taj Mahal,"Near Swapnalok Complex, Patny Centre, Hyderabad·       6.4 km",4909.0,1375.0,71.0, Doctor on call  Reception  Power backup  + 25 more,4.3,318.0,Very Good,hyderabad
149,SPOT ON 703504 Gokul Lodge,"India Hyderabad TelanganaIndia, Hyderabad·       5.9 km",2041.0,572.0,71.0, Reception  Geyser  Power backup  + 1 more,3.6,509.0,,hyderabad
150,OYO Townhouse 1065 Hotel S Continental,"Nampally Mandal, Hyderabad·       0.7 km",4614.0,1292.0,72.0, Parking facility  Reception  Caretaker  + 13 more,3.2,241.0,Fair,hyderabad
151,OYO 91284 Ambica Lodge,"Punjagutta, Hyderabad·       5.5 km",2366.0,699.0,70.0, Parking facility  Free Wi-Fi  Geyser  + 6 more,2.9,108.0,Fair,hyderabad
152,SPOT ON 43890 Kaveri Lodge,"Near Kamineni Hospital, L.B.Nagar, Hyderabad·       8.1 km",1589.0,445.0,71.0, Parking facility  Reception  Daily housekeeping  + 6 more,3.8,851.0,Good,hyderabad
153,Flagship 19460 Hotel Pearl City,"Near Raj Tower, Gowliguda, Hyderabad·       1.6 km",3144.0,880.0,72.0, Parking facility  Reception  Power backup  + 13 more,2.6,158.0,Fair,hyderabad
154,OYO 87972 City Holiday,"Rangareddy, Hyderabad·       4.5 km",2458.0,860.0,65.0, Parking facility  Reception  Free Wi-Fi  + 18 more,3.8,878.0,Good,hyderabad
155,Flagship 77043 Malkajgiri,"Malkajgiri, Hyderabad·       8.8 km",3017.0,845.0,71.0, Parking facility  Reception  Free Wi-Fi  + 12 more,4.0,3090.0,Very Good,hyderabad
156,Collection O 81767 Abhi's R Square,"Greater Hyderabad Municipal Corporation East Zone, Hyderabad·       4.8 km",2976.0,826.0,72.0, Reception  Security  AC  + 10 more,3.5,521.0,Good,hyderabad
157,SPOT ON 70822 Pnd Complex,"India, Hyderabad·       7.9 km",2393.0,613.0,74.0, Hair Dryer  Reception  Daily housekeeping  + 8 more,3.4,637.0,Fair,hyderabad
158,Flagship 49255 Hotel New Simran Palace,"Near Paradise Circle, Hyderabad·       6.4 km",1588.0,556.0,64.0, Reception  Power backup  Daily housekeeping  + 8 more,2.5,120.0,Fair,hyderabad
159,Collection O 80211 Collection O Sri Navya Grand,"New Nallakunta, Hyderabad·       2.2 km",4189.0,1173.0,72.0, Elevator  Reception  Free Wi-Fi  + 8 more,3.6,264.0,Good,hyderabad
160,Capital O 15959 The City Park,"Near The City Park, Chirag AlicLane, Hyderabad·       1.5 km",3437.0,962.0,72.0, Reception  Free Wi-Fi  Power backup  + 13 more,3.4,1265.0,Fair,hyderabad
161,Capital O 44585 Sri Suprabhat Grand,"Nera Venkataramana Theater, Hyderabad·       0.8 km",4429.0,1240.0,72.0, Parking facility  Reception  Free Wi-Fi  + 15 more,3.6,507.0,Good,hyderabad
162,OYO 75390 Bhavani Rest Rooms,"500025, Hyderabad·       5.6 km",1857.0,699.0,62.0, Reception  Ticket tour assistance  Queen Sized Bed  + 9 more,3.1,491.0,Fair,hyderabad
163,OYO Townhouse 81794 Banjara Hills,"Masab Tank, Hyderabad·       4.3 km",4399.0,1232.0,71.0, Modern wardrobe  Modern wardrobe  AC  + 14 more,3.4,1084.0,Fair,hyderabad
164,SPOT ON 75815 Hotel Kanha Residency,"India, Hyderabad·       3.1 km",2851.0,998.0,64.0, Reception  Onsen/Hot Spring  Geyser  + 7 more,3.4,151.0,Fair,hyderabad
165,OYO Townhouse 196 De Alphabet,"Near Sai Baba Temple, Gudimalkapur, Hyderabad·       4.9 km",5102.0,1429.0,71.0, Parking facility  Reception  Free Wi-Fi  + 17 more,3.9,3581.0,Good,hyderabad
166,OYO 15140 Hotel Priya Residency,"Near Raniganj, MG Road, Hyderabad·       5.4 km",3189.0,893.0,72.0, AC  AC  TV  + 1 more,3.5,1143.0,Good,hyderabad
167,OYO Home 79961 Comfortable Stays,"Karan Bagh, Hyderabad·       4.0 km",3201.0,1120.0,65.0, Free Wi-Fi  AC  TV  + 1 more,3.6,895.0,Good,hyderabad
168,Flagship 75711 Kachiguda Railway Station,"Near Kumar Theatre, Kachiguda, Hyderabad·       1.1 km",4298.0,1204.0,71.0, Living Room  Reception  Washing Machine  + 109 more,3.0,1007.0,Fair,hyderabad
169,OYO Home 79924 Pramod Prime Homes,"Nagole, Hyderabad·       8.1 km",2702.0,946.0,64.0, Free Wi-Fi  TV  AC ,4.0,1506.0,Very Good,hyderabad
170,OYO 10272 Hotel Ruma,"Near City Convention Centre, Nampally, Hyderabad·       1.9 km",4258.0,1192.0,72.0, Elevator  Free Wi-Fi  Geyser  + 7 more,3.3,667.0,Fair,hyderabad
171,SPOT ON 80705 Balaji Residency,"Khairatabad, Hyderabad·       5.5 km",2685.0,940.0,64.0, AC  TV ,3.1,1090.0,Fair,hyderabad
172,OYO 40869 White Ridge,"Near Sanjeevini Hospital, Kothapet road, Hyderabad·       7.1 km",3465.0,970.0,72.0, Reception  Free Wi-Fi  Power backup  + 11 more,3.9,1849.0,Good,hyderabad
173,Flagship 77115 Hotel Vaishnavi Palace,"#2-4-133 Beside KFC, Mahatma Gandhi Rd, Secunderabad, Telangana, Hyderabad·       5.7 km",3345.0,1171.0,64.0, Parking facility  Reception  Free Wi-Fi  + 14 more,3.8,1889.0,Good,hyderabad
174,Flagship 75519 White Ridge,"Near Sai Sanjeevani Hospital, Huda Colony, Hyderabad·       6.6 km",3737.0,1046.0,72.0, Private entrance  Parking facility  Reception  + 12 more,3.7,2180.0,Good,hyderabad
175,SPOT ON 804524 Sri Sai Maruti Residency,"Red Cross Road, Hyderabad·       6.1 km",2212.0,620.0,71.0, Geyser  AC  Power backup  + 3 more,3.6,509.0,,hyderabad
176,Flagship 67479 Alpine Glow Zenith,"Near Malani Colony, Bowenpally, Hyderabad·       8.0 km",2821.0,790.0,72.0, Reception  Free Wi-Fi  Power backup  + 12 more,4.0,1784.0,Very Good,hyderabad
177,OYO Townhouse 710 Hotel Regal,"Nampally station road, Adj Lane Metro Foot Wear, Opp. Iskcon Temple, Abids,  Hyderabad, Telangana, 500001·       1.2 km",4344.0,1216.0,72.0, Parking facility  Elevator  Free Wi-Fi  + 9 more,3.3,531.0,Fair,hyderabad
178,OYO 14726 Hotel Vaishnavi Park,"Near Monda Market, Shivaji Nagar, Hyderabad·       5.8 km",3347.0,937.0,72.0, Elevator  Free Wi-Fi  Geyser  + 7 more,3.2,1598.0,Fair,hyderabad
179,OYO 89644 Hotel R Square,"Balapur, Hyderabad·       6.2 km",2785.0,780.0,71.0, Reception  Caretaker  Bedside Table / Desk  + 17 more,3.8,125.0,Good,hyderabad
180,Capital O 23543 Hotel Vaishnavi,"Near Csi Wesley Church, Paras Towers, Hyderabad·       6.1 km",4014.0,1124.0,72.0, Reception  Free Wi-Fi  24/7 check-in  + 11 more,3.9,1596.0,Good,hyderabad
181,Collection O 9386 Hotel Happy Stay,"Near ICICI Bank, Begumpet, Hyderabad·       6.9 km",2646.0,716.0,72.0, AC  TV ,3.4,1592.0,Fair,hyderabad
183,OYO Home 83984 Peaceful Stay Villa,"India Hyderabad, Hyderabad·       6.4 km",2731.0,765.0,71.0, Elevator  Free Wi-Fi  Geyser  + 5 more,2.7,509.0,Fair,hyderabad
184,OYO 11316 Athithi Inn,"Near Maithrivanam Complex, Ameerpet, Hyderabad·       6.8 km",3551.0,994.0,72.0, Parking facility  Free Wi-Fi  Power backup  + 15 more,3.2,2621.0,Fair,hyderabad
185,Flagship 76687 Ramoji Kothapet,"Kothapet, Hyderabad·       5.8 km",4259.0,1193.0,71.0, Private entrance  Reception  Free Wi-Fi  + 13 more,3.6,2379.0,Good,hyderabad
186,OYO 84238 Hotel Ragas Elite,"500068, Hyderabad·       8.2 km",2825.0,791.0,72.0, Reception  Geyser  Daily housekeeping  + 7 more,3.3,134.0,Fair,hyderabad
187,Flagship 75583 Thatipally Mansion,"Kothapet., Hyderabad·       6.8 km",3081.0,1078.0,65.0, Reception  Free Wi-Fi  Power backup  + 10 more,3.7,2326.0,Good,hyderabad
188,OYO 82310 Holiday Inn,"Telangana, Hyderabad·       6.6 km",2877.0,806.0,71.0, Doctor on call  Parking facility  Reception  + 16 more,3.8,841.0,Good,hyderabad
189,OYO 84232 Hotel Lavish Stay,"LB Nagar Siris Road, St.Alphonsa Grammar School Kaman,Above Bhuvesh Hospital,Hyderabad,500074·       7.8 km",2862.0,802.0,71.0, Reception  Geyser  CCTV cameras  + 8 more,3.2,282.0,Fair,hyderabad
190,OYO 42129 Hotel Swiss Legrand,"Near Nanking Cinese Restaurent, Ramnagar, Hyderabad·       7.8 km",3672.0,799.0,78.0, Reception  Free Wi-Fi  Power backup  + 13 more,3.3,134.0,Fair,hyderabad
191,OYO Townhouse 113 The Shubham Dilsukhnaga,"Kothapet, Hyderabad·       5.2 km",4569.0,1280.0,71.0, Free Wi-Fi  AC  TV ,3.1,1356.0,Fair,hyderabad
192,OYO 70733 Hotel Regal,"M.g Road, Hyderabad·       6.4 km",3317.0,929.0,71.0, Private entrance  Reception  Free Wi-Fi  + 16 more,3.3,1124.0,Fair,hyderabad
193,Townhouse OAK The Margi Hotel,"500045, Hyderabad·       8.0 km",4751.0,1330.0,72.0, Free Wi-Fi  Attached Washroom  Power backup  + 13 more,3.9,1172.0,Good,hyderabad
194,OYO 701448 Heavens Inn,"500003, Hyderabad·       6.5 km",4412.0,1236.0,71.0, Reception  Free Wi-Fi  Geyser  + 8 more,4.0,171.0,Very Good,hyderabad
195,Collection O 3169 Hotel Lotus Grand,"Secunderabad, Hyderabad·       5.8 km",4477.0,1254.0,71.0, Parking facility  Free Wi-Fi  Power backup  + 13 more,3.6,1930.0,Good,hyderabad
196,OYO Townhouse 862 Che Sigma,"Malkajgiri, Hyderabad·       9.0 km",4774.0,1671.0,65.0, Parking facility  Reception  Ticket tour assistance  + 21 more,3.9,2512.0,Good,hyderabad
197,OYO 71439 Rsquare Elite,"Near Raghavendra Udupi Veg, LB Nagar, Hyderabad·       8.0 km",3232.0,905.0,72.0, Reception  Free Wi-Fi  Power backup  + 9 more,2.8,134.0,Fair,hyderabad
198,Flagship 65280 Hotel Nandini,"Near Sri Nagar Colony, Krishna Nagar, Hyderabad·       8.0 km",2393.0,799.0,66.0, Parking facility  Reception  Free Wi-Fi  + 11 more,2.4,322.0,Fair,hyderabad
199,Capital O 10225 Wild Wings Hotel,"Laxmi Nagar Colony, Kothapet, Hyderabad·       6.0 km",5048.0,1414.0,71.0, Parking facility  Free Wi-Fi  Power backup  + 12 more,3.7,811.0,Good,hyderabad
200,OYO Townhouse 1118 S R Nagar,"Khairatabad Mandal, Hyderabad·       8.3 km",3742.0,1048.0,71.0, Parking facility  Reception  Free Wi-Fi  + 21 more,3.8,354.0,Good,hyderabad
202,OYO 702565 Hotel Shyam,"India, Hyderabad·       6.4 km",4178.0,1170.0,72.0, Elevator  Reception  Free Wi-Fi  + 8 more,2.7,25.0,Fair,hyderabad
203,OYO 89107 Royal Stay,"Telangana, Hyderabad·       8.3 km",2709.0,948.0,65.0, Reception  Free Wi-Fi  AC  + 11 more,4.2,393.0,Very Good,hyderabad
204,Capital O 44354 Jubilee Banjara Suites,"Near American Hospital, Banjarahills, Hyderabad·       6.7 km",4544.0,1272.0,72.0, Free Wi-Fi  AC  AC  + 5 more,3.5,1040.0,Good,hyderabad
205,OYO Townhouse 1073 Hotel Ragas Grand,"Telangana Hyderabad Telangana India, Hyderabad·       8.3 km",2748.0,962.0,64.0, Reception  Caretaker  Power backup  + 22 more,3.3,142.0,Fair,hyderabad
206,Capital O 24450 Hotel Surabhi,"Near Vishnu Theatre, Vijayawada Highway,Hyderabad·       9.6 km",4124.0,1299.0,68.0, Parking facility  Reception  Free Wi-Fi  + 17 more,3.2,995.0,Fair,hyderabad
208,Capital O 65104 Che Sigma Hotel,"Near Narayana High School, Chinthalkunta, Hyderabad·       8.6 km",3647.0,1404.0,61.0, Parking facility  Reception  Free Wi-Fi  + 18 more,3.3,2299.0,Fair,hyderabad
209,OYO 82030 Hotel Happy Rooms,"Secundrabad, Hyderabad·       6.4 km",3797.0,1063.0,72.0, Reception  Public washroom  Free Wi-Fi  + 14 more,2.7,59.0,Fair,hyderabad
210,Collection O 7601 Hotel Park Heights Banjara Hills,"Banjara Hills, Hyderabad·       6.6 km",4385.0,1228.0,72.0, Parking facility  Free Wi-Fi  Power backup  + 21 more,3.3,612.0,Fair,hyderabad
211,OYO 71210 Jubilee Homes,"Centrally Located, Near Annapurna Studios, Jubilee Hills, Hyderabad·       8.1 km",3901.0,1092.0,72.0, Parking facility  Reception  Free Wi-Fi  + 16 more,3.5,489.0,Good,hyderabad
212,OYO 12237 Luxury Villas,"Begumpet, Hyderabad·       7.0 km",3952.0,1107.0,71.0, Parking facility  Free Wi-Fi  Geyser  + 7 more,2.9,314.0,Fair,hyderabad
213,Capital O 897 Hotel Surabhi Elite,"Kothapet, Hyderabad·       6.8 km",5954.0,1667.0,72.0, Free Wi-Fi  AC  TV  + 1 more,3.7,1056.0,Good,hyderabad
214,OYO 63371 R Square Stay,"Near LB Nagar Metro Station, LB Nagar, Hyderabad·       7.8 km",3912.0,1096.0,71.0, Hair Dryer  Reception  Free Wi-Fi  + 12 more,3.2,416.0,Fair,hyderabad
215,Flagship 14224 Happy Guest House,"Near Star Super Market, Banjara Hills, Hyderabad·       7.3 km",4684.0,1312.0,71.0, Free Wi-Fi  AC  AC  + 3 more,3.5,668.0,Good,hyderabad
216,SPOT ON 83852 Viand Grand,"Secunderabad, Hyderabad·       9.3 km",3144.0,1100.0,65.0, Parking facility  Free Wi-Fi  Power backup  + 11 more,2.8,114.0,Fair,hyderabad
217,OYO 1108 Hotel Saraswathi Residency,"Near Nalanda School, S.R. Nagar, Hyderabad·       8.4 km",4254.0,1489.0,65.0, Elevator  Free Wi-Fi  Geyser  + 7 more,3.9,388.0,Good,hyderabad
218,Collection O 80304 Hotel Pnr Banjara Hills,"Guru Bramaha, Hyderabad·       6.4 km",5077.0,1777.0,65.0, Parking facility  Elevator  Free Wi-Fi  + 6 more,3.3,758.0,Fair,hyderabad
219,Capital O 92539 Hotel Dream Connect,"500073, Hyderabad·       7.0 km",4124.0,1443.0,65.0, Reception  Free Wi-Fi  Caretaker  + 16 more,3.1,201.0,Fair,hyderabad
220,OYO 42887 TENNETI TOWERS,"Behind SBI Bank,Balkampet Road, Hyderabad·       7.6 km",4444.0,1555.0,65.0, Parking facility  Reception  Free Wi-Fi  + 12 more,2.2,509.0,Fair,hyderabad
221,OYO HYD1516 Hotel Aroma Classic,"Ghosha Mahal, Hyderabad·       2.1 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  Caretaker  + 12 more,3.7,1047.0,Good,hyderabad
222,Capital O 71317 White Ridge,"Near Khazana Jewellery, Dilsukhnagar, Hyderabad·       5.1 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  24/7 check-in  + 10 more,4.1,1922.0,Very Good,hyderabad
223,OYO Townhouse RCC Majestic 397 LB Nagar,"Champapet, Hyderabad·       6.1 km",3674.5,1063.0,71.0, Parking facility  Free Wi-Fi  AC  + 5 more,4.6,3570.0,Excellent,hyderabad
224,OYO Townhouse 269 RCC Sunrise,"Near Begumpet lifestyle, Kundanbagh Colony, Hyderabad·       6.1 km",3674.5,1063.0,71.0, Private entrance  Parking facility  Reception  + 15 more,4.5,1509.0,Excellent,hyderabad
225,OYO 1405 Hotel The Platinum,"Chikkadpally, Hyderabad·       2.6 km",3674.5,1063.0,71.0, Parking facility  Elevator  Free Wi-Fi  + 7 more,3.8,451.0,Good,hyderabad
226,OYO 72073 Imperial Guest House,"Near Yashoda Hospital, Somajiguda, Hyderabad·       5.6 km",3674.5,1063.0,71.0, Parking facility  Reception  Free Wi-Fi  + 14 more,2.7,165.0,Fair,hyderabad
227,OYO 88286 Hotel Padmini,"Lakdikapul, Hyderabad·       3.4 km",3674.5,1063.0,71.0, Hair Dryer  Reception  Power backup  + 13 more,3.3,168.0,Fair,hyderabad
228,OYO Townhouse White Ridge 112 Shivam Road,"New Nallakunta, Hyderabad·       2.7 km",3674.5,1063.0,71.0, Parking facility  Reception  Free Wi-Fi  + 14 more,3.8,2595.0,Good,hyderabad
229,SPOT ON 82436 Gopi Mini Guest House,"Erragadda, Hyderabad·       9.7 km",3674.5,1063.0,71.0, Parking facility  Free Wi-Fi  Power backup  + 12 more,4.1,64.0,Very Good,hyderabad
230,Collection O 78286 Collection O White Ridge,"L b Nagar, Hyderabad·       8.6 km",3674.5,1063.0,71.0, Free Wi-Fi  AC  TV ,4.1,2779.0,Very Good,hyderabad
232,Capital O 11079 Hotel Prestige,"Centrally Located, Near Sun Shine Hospital, Paradise Road, Hyderabad·       6.3 km",3674.5,1063.0,71.0, Parking facility  Elevator  Free Wi-Fi  + 9 more,4.2,4228.0,Very Good,hyderabad
233,Flagship 76333 Relax Grand,"Secunderabad Mandal, Hyderabad·       5.4 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  Caretaker  + 14 more,3.7,847.0,Good,hyderabad
234,Flagship 76655 Goldhorn Hotels Mehdipatnam,"Mehdipatnam, Hyderabad·       5.3 km",3674.5,1063.0,71.0, Living Room  Cot  Washing Machine  + 81 more,4.0,1923.0,Very Good,hyderabad
235,Collection O 86887 Rcc Pristine,"Ameerpet, Hyderabad·       6.8 km",3674.5,1063.0,71.0, Parking facility  Reception  Free Wi-Fi  + 12 more,4.7,1221.0,Excellent,hyderabad
236,Flagship 82474 Hotel Park 9,"Ward 91 Khairatabad, Hyderabad·       5.9 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  Geyser  + 7 more,2.3,212.0,Fair,hyderabad
237,OYO 10139 Hotel Palak Residency,"Metro Pillar no: A947, 2nd Floor, Beside Erragadda Metro Station, Above Bajaj Showroom, Hyderabad·       9.9 km",3674.5,1063.0,71.0, Elevator  Free Wi-Fi  Geyser  + 9 more,3.7,2126.0,Good,hyderabad
238,OYO 37427 Hotel Shannu Grand,"Near Apollo Pharmacy, Secunderabad, Hyderabad·       8.9 km",3674.5,1063.0,71.0, Parking facility  Reception  Free Wi-Fi  + 14 more,3.7,1253.0,Good,hyderabad
239,OYO Townhouse 359 Begumpet,"Vinn Hospital, Begumpet, Hyderabad·       6.7 km",3674.5,1063.0,71.0, Parking facility  Reception  Free Wi-Fi  + 15 more,4.2,3127.0,Very Good,hyderabad
240,Capital O 2006 Alpine Glow Sunrise,"Near RBI Quarters, Begumpet, Hyderabad·       7.4 km",3674.5,1063.0,71.0, Elevator  Free Wi-Fi  Geyser  + 9 more,4.1,1050.0,Very Good,hyderabad
241,Capital O 30955 Alpine Glow Pinnacle,"Near Veg Market, Bowenpally, Hyderabad·       9.4 km",3674.5,1063.0,71.0, Reception  Power backup  Refrigerator  + 38 more,4.1,2552.0,Very Good,hyderabad
242,OYO 28637 Gokul Grand,"Near SR Nagar Police station, Ameerpet, Hyderabad·       7.4 km",3674.5,1063.0,71.0, Hair Dryer  Parking facility  Free Wi-Fi  + 17 more,4.1,2758.0,Very Good,hyderabad
243,OYO 61506 Sai Residency,"Near Sr nagar metro station, Jawahar Nagar, Hyderabad·       8.7 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  Geyser  + 9 more,3.0,646.0,Fair,hyderabad
244,OYO 71930 V Guest Inn,"Ameerpet, Hyderabad·       7.2 km",3674.5,1063.0,71.0, Reception  Cot  Public washroom  + 22 more,4.0,1539.0,Very Good,hyderabad
245,Flagship 87165 Sri Residency,"Shivbagh Colony Ameerpet, Hyderabad·       7.3 km",3674.5,1063.0,71.0, Reception  Power backup  Security  + 23 more,3.8,980.0,Good,hyderabad
246,OYO Townhouse 1033 Ameerpet,"Ameerpet Mandal, Hyderabad·       7.6 km",3674.5,1063.0,71.0, Reception  Power backup  Security  + 12 more,4.1,1304.0,Very Good,hyderabad
247,OYO 13746 Mint Leaves,"Annapurna Studios, Jubilee Hills, Hyderabad·       8.4 km",3674.5,1063.0,71.0, Parking facility  Free Wi-Fi  Power backup  + 10 more,3.5,455.0,Good,hyderabad
248,SPOT ON 41554 Hotel Sri Thirumala Paradise,"Sevashrama, Bangalore·       2.8 km",2037.0,570.0,72.0, Free Wi-Fi  CCTV cameras  Power backup  + 5 more,4.5,3631.0,Excellent,bangalore
249,SPOT ON 80454 Janapriya Lodge,"Bangalore Urban, Bangalore·       7.0 km",1682.0,399.0,76.0, Parking facility  Doctor on call  Reception  + 7 more,3.3,454.0,Fair,bangalore
250,OYO 2561 Hotel Resida Service Apartments,"Near Domlur Bridge, Indiranagar, Bangalore·       5.6 km",4034.0,1094.0,72.0, Parking facility  Free Wi-Fi  Power backup  + 10 more,4.6,2007.0,Excellent,bangalore
251,OYO 6790 Hotel Subha Residency,"Majestic, Bangalore·       2.7 km",3069.0,1074.0,65.0, TV  Free Wi-Fi  Geyser  + 4 more,3.9,1550.0,Good,bangalore
252,OYO 62942 The Royal International Hotel,"Near Robert Bosch Company, Mangammanapalya, Bangalore·       8.8 km",3349.0,938.0,71.0, Parking facility  Reception  Free Wi-Fi  + 9 more,2.5,300.0,Fair,bangalore
253,OYO Collection O 16107 N R Residency,Opposite Satelite Bus Stand Bapujinagar Mysore Road Bangalore 560026·       6.1 km,3801.0,1064.0,72.0, Reception  Ticket tour assistance  Caretaker  + 28 more,4.3,733.0,Very Good,bangalore
255,OYO 10293 Rajmahal Comforts,"Near Maha Bazar, New Bel Road, Bangalore·       7.9 km",2156.0,457.0,78.0, Free Wi-Fi  Geyser  Power backup  + 7 more,2.5,442.0,Fair,bangalore
256,OYO 71720 Hotel Fiesta Grand,"Near Mariyappa Road, Jayanagar Ward, Bangalore·       3.4 km",2221.0,457.0,79.0, Hair Dryer  Free Wi-Fi  AC  + 7 more,2.9,304.0,Fair,bangalore
257,OYO 10522 Varcity Emerald,"Near KEB Colony, BTM Layout 1, Bangalore·       6.2 km",2221.0,622.0,71.0, Reception  Free Wi-Fi  Power backup  + 12 more,3.2,1778.0,Fair,bangalore
258,Capital O 88646 Sri Sapthagiri Comforts,"India, Bangalore·       7.5 km",1617.0,453.0,71.0, Parking facility  Reception  Free Wi-Fi  + 18 more,2.9,122.0,Fair,bangalore
259,Capital O 73831 N R Comforts,"Koramangala, Bangalore·       5.1 km",3158.0,884.0,72.0, Parking facility  Free Wi-Fi  Power backup  + 7 more,3.1,190.0,Fair,bangalore
260,OYO 37297 N R Deluxe,"Near Prashant Hospital, Bangalore·       8.2 km",2000.0,602.0,69.0, Reception  Free Wi-Fi  Card payment  + 10 more,2.5,112.0,Fair,bangalore
261,OYO 26900 Royal Inn,"Near 14th Main Road, Rajaji Nagar, Bangalore·       4.7 km",2594.0,726.0,72.0, Reception  Free Wi-Fi  Power backup  + 13 more,2.5,350.0,Fair,bangalore
262,OYO 46067 Sree Lakshmi Residency,"Near Bata Show Room, Yeshwanthpur, Bangalore·       7.3 km",3215.0,900.0,72.0, Reception  Free Wi-Fi  Power backup  + 12 more,2.3,419.0,Fair,bangalore
263,Flagship 70582 J Puneeth Residence And Lodging,"Near Nagavara Junction, HBR Layout 5th Block, Bangalore·       8.3 km",2641.0,740.0,71.0, Hair Dryer  Free Wi-Fi  Power backup  + 10 more,3.2,145.0,Fair,bangalore
264,Capital O 68975 The Blueberry's,"7th Block, Bangalore·       4.2 km",3179.0,890.0,72.0, AC  TV ,3.3,781.0,Fair,bangalore
265,OYO 24259 Hotel Blue Inn,"Near Bilal masjid, Gurappanapalya, Bangalore·       5.7 km",3597.0,699.0,80.0, Reception  Free Wi-Fi  Power backup  + 13 more,3.2,1175.0,Fair,bangalore
266,Capital O 36457 Boulevard Madiwala,"B t m Layout, Bangalore·       5.5 km",4188.0,1173.0,71.0, Private entrance  Reception  Free Wi-Fi  + 21 more,4.1,2128.0,Very Good,bangalore
267,Capital O 23461 Champion Lotus,"Near IIFT, Vijayanagar, Bangalore·       5.4 km",4604.0,1289.0,72.0, Reception  Power backup  Security  + 22 more,4.1,1322.0,Very Good,bangalore
268,OYO 79381 Dm Residency,"Rajarajeshwari Nagar Zone, Bangalore·       9.2 km",3215.0,900.0,72.0, Reception  Caretaker  Bedside Table / Desk  + 11 more,3.2,224.0,Fair,bangalore
269,OYO 26817 Gks Residency,"Near Jayadeva circel, Vysya Bank Colony, Bangalore·       6.2 km",3215.0,900.0,72.0, Reception  Free Wi-Fi  Power backup  + 11 more,2.6,625.0,Fair,bangalore
270,OYO Flagship 14799 NR Residency,"Near Teacher's colony Park, Jakkasandra, Bangalore·       7.2 km",3192.0,614.0,80.0, Elevator  Free Wi-Fi  Geyser  + 5 more,2.6,315.0,Fair,bangalore
271,Capital O 13184 Savi International,"Near Mantri Square Mall, Sheshadripuram, Bangalore·       3.2 km",5249.0,1470.0,71.0, Reception  Security  AC  + 11 more,4.1,1327.0,Very Good,bangalore
272,OYO Flagship 27943 Hotel SS Grand,"Karnataka , Bangalore·       7.2 km",3801.0,1064.0,72.0, Reception  Free Wi-Fi  Power backup  + 13 more,4.0,151.0,Very Good,bangalore
273,Capital O 82296 Safari  Rooms,"India Bangalore KarnatakaIndia, Bangalore·       6.0 km",2912.0,913.0,68.0, Doctor on call  Parking facility  Reception  + 11 more,3.2,57.0,Fair,bangalore
274,OYO 9605 Hotel Golden Inn,"Centrally Located, Near HKP Road, Shivaji Nagar, Bangalore·       2.0 km",2971.0,832.0,72.0,No Facilities,3.2,1510.0,Fair,bangalore
275,OYO 91217 Nr Comforts,"49, 20th main road, Gangotri circle, opposite to life care hospital, Old Madiwala, Aicobo Nagar, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029·       6.1 km",3411.0,955.0,72.0, Doctor on call  Reception  Ticket tour assistance  + 28 more,2.4,347.0,Fair,bangalore
