,HotelName,Address,Originalprice,Amountpayable,Discount,Facilities,Ratings,Reviews,Roomquality,Location
35,OYO Home 77741 Classy Studios Near Pune Airport,"Punemaharashtra, Pune·       9.9 km",3674.5,1063.0,71.0, Parking facility  Free Wi-Fi  Power backup  + 11 more,4.2,565.0,Very Good,pune
36,OYO Townhouse 749 The Upper Room,"Pune District, Pune·       7.5 km",3674.5,1063.0,71.0, Parking facility  Reception  Free Wi-Fi  + 17 more,4.4,924.0,Very Good,pune
37,Collection O 11693 Hotel Sunshine,"Near New White House, Koregaon Park,Pune·       4.6 km",3674.5,1063.0,71.0, Parking facility  Free Wi-Fi  Geyser  + 8 more,4.1,1689.0,Very Good,pune
38,OYO 75368 Hotel Aarambh,"Dhayari, Haveli, Pune District, Maharashtra, India·       8.8 km",3674.5,1063.0,71.0, Private entrance  Parking facility  Reception  + 10 more,3.8,16.0,Good,pune
39,Collection O 84516 Hotel Royce Studios,"Chandannagar, Pune·       9.0 km",3674.5,1063.0,71.0, Reception  Ticket tour assistance  Caretaker  + 22 more,3.2,1113.0,Fair,pune
40,Flagship 76624 Hotel Green Leaves,"Near Mohammad Al Amin Masjid, Pune·       7.4 km",3674.5,1063.0,71.0, Doctor on call  Parking facility  Reception  + 16 more,3.3,741.0,Fair,pune
41,Flagship 700353 Cruz House,"Kharadi, Pune·       8.6 km",3674.5,1063.0,71.0, Free Wi-Fi  Geyser  CCTV cameras  + 5 more,3.3,58.0,Fair,pune
42,Collection O 75883 Hotel Galaxy Hospitality,"Near Phoenix Mall, Tata Garden, Kendriya Vidyalaya, Maruti Mandir, Khulewadi, Pune·       9.6 km",3674.5,1063.0,71.0, Parking facility  Reception  Free Wi-Fi  + 13 more,3.6,1521.0,Good,pune
43,OYO 16832 I Suites,"Pune Maharashtra 411060, Pune·       9.6 km",3674.5,1063.0,71.0, TV  AC  AC  + 1 more,2.9,535.0,Fair,pune
44,OYO Home 78023 Yana Heights,"Kondhwa, Pune·       6.5 km",3674.5,1063.0,71.0, Parking facility  Private entrance  Free Wi-Fi  + 8 more,3.5,480.0,Good,pune
45,OYO Flagship 70376 Aadinath Villa,"Near Airport, Pune·       7.0 km",3674.5,1063.0,71.0, Geyser  Power backup  AC  + 2 more,3.6,509.0,,pune
